id,name,municipality,iata_code
43611,Altisurface de Ferrère Batmale,Ferrère,
43612,Glacier d'Argentière Altiport,Chamonix,
43613,Glacier de la Barbarate Altisurface,"Vaujany, Isère",
43614,Altisurface du Glacier de la Chiaupe,Champagny,
43615,Glacier de la Grande Motte Altiport,Tignes,
43616,Glacier de l'Étendard Altisurface,"Saint-Sorlin-d'Arves, Savoie",
43617,Glacier de Talèfre Altiport,Chamonix,
43618,Altisurface du Glacier Du Dome Du Gouter,Chamonix,
43619,Altisurface du Glacier Du Tacul,Chamonix,
43620,Glacier du Tour Altisurface,"Chamonix-Mont-Blanc, Haute-Savoie",
43621,Glacier Lombard Altisurface,"La Grave, Hautes-Alpes",
43622,Altisurface du Grand Terrus,Montclus,
43623,Altisurface d'Hautacam,Bordes,
43624,Altisurface de l'Hippopotame,Saillagouse,
43625,Altisurface de Honteyde,Cathervieille,
43626,Isola 2000 Altisurface,"Saint-Sauveur-sur-Tinée, Alpes-Maritimes",
43627,La Clusaz Altisurface,La Clusaz,
43628,Altisurface de la Jasserie,La Jasserie,
43629,Altisurface de la Plagne-Bouirex,Sentenac-d'Oust,
43630,Notre-Dame-de-la-Salette Altisurface,"La Salette-Fallavaux, Isère",
43631,La Serre D'aulon Altiport,Aulon,
43632,Altisurface de La Taillade,La Taillade,
43633,La Tête Des Champs Altiport,Le Ménil,
43634,La Toussuire Altisurface,"Fontcouverte-la-Toussuire, Savoie",
43635,La Tovière Altiport,Tignes,
43636,Altisurface de l'Escoulin,L'Escoulin,
43637,Château de Montmeilleur Airfield,"Saint-Baudille-et-Pipet, Isère",
43638,Mont Llaret Pic d'Aude Altisurface,Les Angles,
43639,Mont Llaret Roc d'Aude Airfield,Les Angles,
43640,Altisurface de Morzine-Avoriaz,Avoriaz,
43641,Pene De Soulit Altisurface,Garin,
43642,Altiport du Plateau de la Calme,Font Romeu-Odeillo,
43643,Pointe de l'Ouillon Altisurface,"Saint-Sorlin-d'Arves, Savoie",
43644,Saint-Jean-d'Arves Altisurface,"Saint-Jean-d'Arves, Savoie",
43645,Altisurface des Quatre Veziaux - La Hourquette d'Ancizan,Ancizan,
43646,Saint-Roch Mayères Altisurface,Sallanches,
43647,Thorame-Haute Chamatte Altisurface,"Thorame-Haute, Alpes-de-Haute-Provence",
43649,Thorame-Haute Les Serres Altisurface,"Thorame-Haute, Alpes-de-Haute-Provence",
43650,Thorame-Haute Les Serres Altisurface (2),"Thorame-Haute, Alpes-de-Haute-Provence",
43651,Altisurface Uls,Melles,
43652,Val Thorens Altiport,"Les Belleville, Savoie",
43653,Valloire-Bonnenuit Altisurface,"Valloire, Savoie",
43654,Altisurface de Valmorel,Les Avanchers,
43655,Altiport de Vaugellaz,Les Chapelles,
43656,Col du Palet Altiport,Tignes,
44902,Europa Island Airstrip,Europa Island,
308839,Amiens-Picardy University Hospital North Heliport,"Amiens, Somme",
308840,Simone Veil Beauvais Hospital Heliport,Beauvais,
308842,South Île-de-France Hospital Heliport,"Corbeil-Essonnes, Essonne",
308845,Bicêtre Hospital Heliport,"Le Kremlin-Bicêtre, Val-de-Marne",
308847,Hôtel La Coquillade Heliport,Perrotet,
308849,Luçon - Chasnais Aerodrome,Luçon,
333576,Mens Airstrip,"Mens, Isère",
315458,Col de Lèques Airfield,"Castellane, Alpes-de-Haute-Provence",
315461,Mont sur Meurthe Airfield,,
315606,Verchocq Airpark,Verchocq,
315629,Aire-sur-la-Lys Airfield,"Aire-sur-la-Lys, Pas-de-Calais",
315736,Saint Maurice Ultralight Airfield,"Saint-Maurice-des-Lions, Charente",
315954,Crottet-Le Bief Ultralight Airfield,"Crottet, Ain",
315955,La Flamengrie ULM,La Flamengrie,
315956,Ulmodrome de Limoux,Limoux,
315957,Kerfot Ultralight Airfield,"Kerfot, Côtes-d'Armor",
315958,Javerlhac Ultralight Airfield,"Javerlhac-et-la-Chapelle-Saint-Robert, Dordogne",
315959,Fournet ULM,Fournet-Blancheroche,
315965,Envol Ultralight Airfield Alsace,"Marckolsheim, Bas-Rhin",
315968,Verneuil en Bourbonnais,,
316142,Doucier Airfield,"Doucier, Jura",
316145,Plessé ULM,,
316146,Cabrerets ULM,,
316147,Carlucet Biguès ULM,Carlucet,
316148,Saint Sigismond ULM,,
316187,Ramonchamp Ultralight Airfield,Ramonchamp,
320052,La Tranclière Private Airstrip,La Tranclière,
320053,Lavours Airfield,"Lavours, Ain",
320249,Rocroi RCAF Air Base,Rocroi,
332510,Saint Quentin Ultralight Airfield,"Rouvroy, Aisne",
320617,Vouziers-Séchault Air Base,"Séchault, Ardennes",
320621,Grostenquin Air Base,Grostenquin,
321209,Mellac Ultralight Airfield,"Mellac, Finistère",
321891,La Motte-du-Caire Glider Field,"La Motte-du-Caire, Alpes-de-Haute-Provence",
322006,Aérodrome de Saint-Aubin La Plaine,Saint-Aubin La Plaine,
322108,Juan-les-Pins Ultralight Seaplane Base,"Antibes, Alpes-Maritimes",
322119,Rhône-Lavours Ultralight Seaplane Base,"Ceyzérieu, Ain",
322120,Base Hydro-ULM de Montrevel-en-Bresse,Montrevel-en-Bresse,
322121,Val de l'Ailette Airfield,"Pierremande, Aisne",
322152,Cérizols Balloonport,Cérizols,
322153,Troye d'Ariège ULM,Troye d'Ariège,
322154,Seyne les Alpes Glider Field,,
322162,Base Hydro-ULM d'Amance,Amance,
322200,Henri Fabre Seaplane Base,"Martigues, Bouches-du-Rhône",
322201,Base Hydro-ULM de La Ciotat,La Ciotat,
322202,Base Hydro-ULM du Barrage de Pareloup,,
322260,Marseille Hydro,Marseille,
332511,Fresnoy-le-Grand  Ultralight Airfield,"Fresnoy-le-Grand, Aisne",
326072,Soustons,Soustons,
326075,Aerodrome de Aubiet,Aubiet,
326130,Cavallo Helistrip,Ile Cavallo,
326175,Saint-Tropez Ultralight Seaplane Base,"Saint-Tropez, Var",
326250,Ulmodrome des Landes,Saint-Denis-lès-Martel,
326251,Buzet sur Tarn Aerodrome,Buzet sur Tarn,
326393,Base Hydro-ULM La Salanque Latécoère,Saint-Laurent-de-la-Salanque,
326619,Gaussan ULM,Gaussan,
326702,Fromissard ULM,,
328585,Ile du Levant Helicopter Base,,
329036,Meyrargues Ultralight Airfield,"Meyrargues, Bouches-du-Rhône",
329110,Corbonod-Seyssel Private Airfield,"Corbonod, Ain",
329117,Mont Blanc Hélicoptères,,
329129,Aerodrome d'Esperce,,
329135,Laon-Couvron Air Base,"Vivaise, Aisne",
329815,Clipperton Island Landing Strip,La Passion–Clipperton,
330629,Vars Helistrip,,
330775,Les Bories Ultralight Airfield,"Saint-Bonnet-de-Chirac, Lozère",
330785,Fontaine-lès-Clerval Ultralight Airfield,"Fontaine-lès-Clerval, Doubs",
330786,Petit Fay Airfield,"Nailly, Yonne",
330835,Aghione Casone Ultralight Airfield,"Aghione, Haute-Corse",
330836,Forez Ultralight Airfield,"Champdieu, Loire",
331099,Aerodrome des Salles,,
331100,Aigrefeuille d'Aunis ULM,,
